Fahrt;Ab;Nach;Via;Gleis/Kante/ Haltestelle
RE 4918;11:05;Schaffhausen ;Zürich HB- Zürich Oerlikon- Bülach- Schaffhausen;12
S 10 24785;11:05;Uetliberg;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zürich HB SZU
IR 2168;11:06;Bern ;Zürich HB- Baden- Brugg AG- Aarau- Olten- Bern;17
IC 813;11:07;Romanshorn ;Zürich HB- Zürich Flughafen- Winterthur- Frauenfeld- Weinfelden- Amriswil- Romanshorn;33
S 8 18841;11:07;Pfäffikon SZ ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Wädenswil- Richterswil- Pfäffikon SZ;32
S 9 18940;11:07;Schaffhausen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Bülach- Eglisau- Neuhausen- Schaffhausen;41/42
IR 2264;11:08;Basel SBB ;Zürich HB- Lenzburg- Aarau- Sissach- Liestal- Basel SBB;13
ICN 869;11:09;Lugano ;Zürich HB- Zug- Arth-Goldau- Bellinzona- Lugano;7
IR 2068;11:09;Basel SBB ;Zürich HB- Zürich Altstetten- Dietikon- Baden- Brugg AG- Frick- Rheinfelden- Basel SBB;31
IR 2265;11:09;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- Wil SG- Gossau SG- St. Gallen;9
S 5 18540;11:09;Zug ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Urdorfâ€¢ Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19541;11:10;Rapperswil ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil;43/44
S 19 19940;11:11;Dietikon ;Zürich HB- Zürich Altstetten- Dietikon;32
RE 5069;11:12;Chur ;Zürich HB- Thalwil- Wädenswil- Pfäffikon SZâ€¢ Siebnen-Wangen- Ziegelbrücke- Walenstadt- Sargans- Landquart- Chur;8
S 7 18741;11:12;Rapperswil ;Zürich HB- Zürich Stadelhofen- Meilen- Uetikonâ€¢ Männedorf- Stäfa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19441;11:12;Hinwil ;Zürich HB- Zürich Oerlikon- Wallisellen- Dübendorfâ€¢ Schwerzenbach ZH- Nänikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 2 18240;11:14;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;33
S 12 19240;11:14;Brugg AG ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlierenâ€¢ Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20440;11:14;Winterthur ;Zürich HB- Zürich Wipkingen- Zürich Oerlikon- Zürich Flughafen- Bassersdorf- Effretikon- Winterthur;5
S 16 19641;11:15;Herrliberg-Feldmeilen ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikon- Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Herrliberg-Feldmeilen;43/44
S 16 19640;11:16;Zürich Flughafen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Flughafen;41/42
ICB 42226;11:16;München ZOB (Hackerbrücke) ;Zürich, Sihlquai/HB;13
S 2 18241;11:17;Ziegelbrücke ;Zürich HB- Zürich Wiedikon- Zürich Enge- Thalwilâ€¢ Horgen- Wädenswil- Richterswil- Pfäffikon SZ- Siebnen-Wangen- Ziegelbrücke;31
S 12 19241;11:17;Seuzach ;Zürich HB- Zürich Stadelhofen- Stettbach- Winterthur- Oberwinterthur- Winterthur Wallrüti- Reutlingen- Seuzach;43/44
S 4 24487;11:18;Sihlwald;Zürich HB SZU- Zürich Selnau- Zürich Giesshübel- Zürich Saalsporthalleâ€¢ Zürich Brunau- Zürich Manegg- Zürich Leimbach- Sood-Oberleimbach- Langnau-Gattikon- Sihlwald;21-Zürich HB SZU
S 7 18740;11:19;Winterthur ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Opfikonâ€¢ Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19440;11:19;Affoltern am Albis ;Zürich HB- Zürich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19941;11:19;Effretikon ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20441;11:21;Zug ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
S 15 19540;11:22;Niederweningen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Dielsdorf- SchÃ¶fflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
S 5 18541;11:25;Pfäffikon SZ ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil- Pfäffikon SZ;43/44
S 8 18840;11:25;Winterthur ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon- Winterthur;33
S 10 24789;11:25;Zürich Triemli;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli;22-Zürich HB SZU
S 9 18941;11:28;Uster ;Zürich HB- Zürich Stadelhofen- Stettbach- Dübendorf- Schwerzenbach ZH- Nänikon-Greifensee- Uster;43/44
S 3 18340;11:29;Dietikon ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlieren- Glanzenberg- Dietikon;41/42
ICN 1518;11:30;Lausanne ;Zürich HB- Olten- Oensingen- Solothurn- Grenchen Süd- Biel/Bienne- NeuchÃ¢tel- Yverdon-les-Bains- Lausanne;31
S 6 18641;11:30;Uetikon ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikonâ€¢ Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Meilen- Uetikon;43/44
S 6 18642;11:31;Baden ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Seebachâ€¢ Zürich Affoltern- Regensdorf-Watt- Buchs-Dällikon- Otelfingen Golfpark- Wettingen- Baden;41/42
EC 17;11:32;Milano Centrale ;Zürich HB- Zug- Arth-Goldau- Bellinzona- Lugano- Chiasso- Como S. Giovanni- Monza- Milano Centrale;9
IC 716;11:32;GenÃ¨ve-AÃ©roport ;Zürich HB- Bern- Fribourg/Freiburg- Lausanne- GenÃ¨ve- GenÃ¨ve-AÃ©roport;32
IC 713;11:33;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- St. Gallen;34
S 3 18343;11:33;Wetzikon ;Zürich HB- Zürich Stadelhofen- Stettbach- Dietlikonâ€¢ Effretikon- Illnau- Fehraltorf- Pfäffikon ZH- Kempten- Wetzikon;43/44
TGV 9218;11:34;Paris-Gare de Lyon ;Zürich HB- Basel SBB- Mulhouse Ville- Belfort-MontbÃ©liard TGV- Paris-Gare de Lyon;15
IR 2643;11:35;Luzern ;Zürich HB- Thalwil- Baar- Zug- Rotkreuz- Luzern;8
IR 2818;11:35;Schaffhausen ;Zürich HB- Schaffhausen;7
S 10 24791;11:35;Uetliberg;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zürich HB SZU
